Track Title,Artist,ISRC,Release Date,MLC Status,BMI Status,Copyright Status,Total Streams,Total Earnings USD,Spotify URL,Internal Notes
Illuminati,Hawk Eye The Rapper,OZFZ22212084,2022-02-22,Unregistered,Registered,Unfiled,11,0.029941050000000004,https://open.spotify.com/track/2TOORRBprc2GGfR0BH6DBl,Imported from EverLight merge
FEMA,Hawk Eye The Rapper,OZFZ22212085,2022-02-22,Unregistered,Registered,Unfiled,4,0.06357650000000001,https://open.spotify.com/track/1GHZt3uGiPqzfCBPsfi2rG,Imported from EverLight merge
The Antidote,Hawk Eye The Rapper,OZFZ22212086,2022-02-22,Unregistered,Registered,Unfiled,3,0.0404763,https://open.spotify.com/track/4kLIq0MfaoCWZ9hAQK1R8y,Imported from EverLight merge
Avalanche,Hawk Eye The Rapper,OZFZ22212087,2022-02-22,Unregistered,Registered,Unfiled,3,0.031652400000000004,https://open.spotify.com/track/420A8fqzggEDQxNbR6j6XK,Imported from EverLight merge
Artificial Intelligence,Hawk Eye The Rapper,OZFZ22212088,2022-02-22,Unregistered,Registered,Unfiled,3,0.02346747,https://open.spotify.com/track/7eHLJSpcSOs22ob1AOJlsw,Imported from EverLight merge
Legion,Hawk Eye The Rapper,OZFZ22212089,2022-02-22,Unregistered,Registered,Unfiled,7,0.045227420000000004,https://open.spotify.com/track/161njbe4SpCuM7Wp6QB5ad,Imported from EverLight merge
When My Elites Surround,Hawk Eye The Rapper,OZFZ22212090,2022-02-22,Unregistered,Registered,Unfiled,9,0.04010446,https://open.spotify.com/track/5dTa5LC4UXRwJEB5hH82Se,Imported from EverLight merge
Reincarnated 2 Resist,Hawk Eye The Rapper,OZFZ22212091,2022-02-22,Unregistered,Registered,Unfiled,2,0.05451905,https://open.spotify.com/track/7dAIyZKHHVLXNPkw6fI4gS,Imported from EverLight merge
Warning Shots,Hawk Eye The Rapper,OZHN92001330,2020-07-04,Unregistered,Registered,Unfiled,31,0.17399364,https://open.spotify.com/track/2PhKTFEKkueJGmKTl9D1Z1,Imported from EverLight merge
Behold A Pale Horse,Hawk Eye The Rapper,OZHN92001331,2020-07-04,Unregistered,Registered,Unfiled,75,0.6202111,https://open.spotify.com/track/4n3DsiVC637XqPS2PhmsP8,Imported from EverLight merge
Kamikaze,Hawk Eye The Rapper,OZHN92001332,2020-07-04,Unregistered,Registered,Unfiled,14,0.05501745,https://open.spotify.com/track/306ZIlTTebmN2ieR7XqndI,Imported from EverLight merge
Whistle Blower,Hawk Eye The Rapper,OZHN92001333,2020-07-04,Unregistered,Registered,Unfiled,19,0.05467947,https://open.spotify.com/track/49ytIv2L7GHenGHrlqZCAU,Imported from EverLight merge
Superstitions,Hawk Eye The Rapper,OZHN92001334,2020-07-04,Unregistered,Registered,Unfiled,8,0.10797852,https://open.spotify.com/track/3CNad3CNcyBqBkwHxFSdnY,Imported from EverLight merge
Scripture,Hawk Eye The Rapper,OZHN92001335,2020-07-04,Unregistered,Registered,Unfiled,12,0.04770663,https://open.spotify.com/track/4tKV0t2HfrQCBE5eHMvWCT,Imported from EverLight merge
Menace To Society,Hawk Eye The Rapper,OZHN92001336,2020-07-04,Unregistered,Registered,Unfiled,13,0.04722601,https://open.spotify.com/track/77XLJB1ylWZ7h2fG1TShar,Imported from EverLight merge
Semi-Automatic,Hawk Eye The Rapper,OZHN92001337,2020-07-04,Unregistered,Registered,Unfiled,11,0.041683399999999995,https://open.spotify.com/track/3B36n2vhA16ZgAX5cJzvSV,Imported from EverLight merge
Reverse This Curse,Hawk Eye The Rapper,OZHN92001338,2020-07-04,Unregistered,Registered,Unfiled,20,0.06747507,https://open.spotify.com/track/3GVwZibF4J5S9Dg6PVozvD,Imported from EverLight merge
K.T.,Hawk Eye The Rapper,OZHN92001339,2020-07-04,Unregistered,Registered,Unfiled,27,1.84350777,https://open.spotify.com/track/4fwfyVeHS18xNr1Ct1pDZ6,Imported from EverLight merge
The Story Celebrated Throughout Time,Hawk Eye The Rapper,OZHN92001340,2020-07-04,Unregistered,Registered,Unfiled,6,0.44459713,https://open.spotify.com/track/2TgO2hzlbENhBdEmJajSAG,Imported from EverLight merge
Malicious,Hawk Eye The Rapper,QZDA62408794,2024-02-22,Unregistered,Registered,Unfiled,0,0.023822760000000002,https://open.spotify.com/track/6nGsJU8LMuaA0JGV24BiOf,Imported from EverLight merge
Gang Shit,Hawk Eye The Rapper,QZDA62408795,2024-02-22,Unregistered,Registered,Unfiled,1,0.03946476,https://open.spotify.com/track/2DrwSznlkya4toSKsXGBMt,Imported from EverLight merge
The MotherFucking Problem,Hawk Eye The Rapper,QZDA62408796,2024-02-22,Unregistered,Registered,Unfiled,9,0.06166792,https://open.spotify.com/track/1GoTB6vVUwjGzQNzvTzcpm,Imported from EverLight merge
I'm Him,Hawk Eye The Rapper,QZDA62408797,2024-02-22,Unregistered,Registered,Unfiled,1,0.03987109,https://open.spotify.com/track/1zJjtFxDjxIAEUY7ngnsk8,Imported from EverLight merge
Return Of Kings,Hawk Eye The Rapper,QZHNB2443344,,Unregistered,Registered,Unfiled,,0.06894181,,Imported from EverLight merge
The Vow,Hawk Eye The Rapper,QZK6G2540773,,Unregistered,Registered,Unfiled,,0.07417765,,Imported from EverLight merge
Politicians (feat. Symba),Hawk Eye The Rapper,QZZ762479215,2024-11-06,Unregistered,Registered,Unfiled,0,0.29903775,https://open.spotify.com/track/5zVezqopine9WqJFWeAUxp,Imported from EverLight merge
