Date Inserted	Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld (USD)	Earnings (USD)	Recoup (USD)
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Delta Squad	QZFZ22212082	196697765183	5	100	Song	US	0	0.00052578	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Eyes Wide Open	QZFZ22212081	196697765183	3	100	Song	US	0	0.00050859	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Abreactions	QZFZ22212080	196697765183	3	100	Song	US	0	0.00050859	0.00000000
2025-10-09	2025-10-09	2025-04	LyricFind	Hawk Eye The Rapper	Soft Disclosure	QZFZ22212079	196697765183	7	100	Song	US	0	0.00054067	0.00000000
2025-09-26	2025-09-26	2025-08	YouTube (Red)	Hawk Eye The Rapper	The Vow	QZK6G2540773	199338810679	1	100	Song	US	0	0.01791415	0.00000000
2025-09-26	2025-09-26	2025-08	YouTube (Red)	Hawk Eye The Rapper	Incantations	QZFZ42192650	198080486965	1	100	Song	US	0	0.00702337	0.00000000
2025-09-26	2025-09-26	2025-08	YouTube (Red)	Hawk Eye The Rapper	Synthesis	QZDA62424855	198081496550	1	100	Song	AR	0	0.00167634	0.00000000
2025-09-26	2025-09-26	2025-08	YouTube (Red)	Hawk Eye The Rapper	Synthesis	QZDA62424855	198081496550	1	100	Song	PL	0	0.00392640	0.00000000
2025-09-26	2025-09-26	2025-08	YouTube (Red)	Hawk Eye The Rapper	Synthesis	QZDA62424855	198081496550	6	100	Song	US	0	0.02773734	0.00000000
2025-09-26	2025-09-26	2025-08	YouTube (Red)	Hawk Eye The Rapper	Psychological Warfare	QZDA62424846	198081496550	1	100	Song	US	0	0.00702337	0.00000000
2025-09-26	2025-09-26	2025-08	YouTube (Ads)	Hawk Eye The Rapper	The Vow	QZK6G2540773	199338810679	2	100	Song	US	0	0.01230476	0.00000000
2025-09-26	2025-09-26	2025-08	YouTube (Ads)	Hawk Eye The Rapper	Politicians (feat. Symba)	QZZ762479215	198878019573	3	100	Song	US	0	0.00452227	0.00000000
2025-09-26	2025-09-26	2025-08	YouTube (Ads)	Hawk Eye The Rapper	Synthesis	QZDA62424855	198081496550	0	100	Song	US	0	0.00810247	0.00000000
2025-09-26	2025-09-26	2025-08	YouTube (Ads)	Hawk Eye The Rapper	Relentless	QZDA62424849	198081496550	1	100	Song	US	0	0.00729963	0.00000000
2025-09-26	2025-09-26	2025-08	YouTube (Ads)	Hawk Eye The Rapper	Psychological Warfare	QZDA62424846	198081496550	1	100	Song	US	0	0.01177724	0.00000000
2025-09-25	2025-09-25	2025-07	Spotify	Hawk Eye The Rapper	Full Disclosure	QZFZ42008677	198081390872	4	100	Song	CA	0	0.00829853	0.00000000
2025-09-25	2025-09-25	2025-07	Spotify	Hawk Eye The Rapper	Full Disclosure	QZFZ42008677	198081390872	1	100	Song	IN	0	0.00099500	0.00000000
